,Grade,Video Uploads,Subscribers,Video views
201,A ,709,10731825,5320123608
202,A ,146,2913780,699759061
203,A ,79184,9592793,2797505747
204,A ,720,17828322,1284842810
205,A ,919,3742294,1269907194
206,A ,484,7500762,2489237217
207,A ,603,3363912,2084734767
208,A ,6453,3571762,3374207995
210,A ,125,26712128,16244535352
211,A ,3412,7468094,1724254525
212,A ,2917,20198608,13558498013
214,A ,481,8886600,2964214601
215,A ,1083,3600345,2612633025
216,A ,6479,3041069,2218545018
217,A ,71,3611388,735430833
218,A ,32124,7390999,5223168496
219,A ,1135,6085829,1873472207
220,A ,272,5791309,2006762385
221,A ,420,5903099,2926005920
222,A ,903,3031264,1894890613
224,A ,3526,9774825,7561193043
225,A ,341,11664682,2546704375
226,A ,3285,6257643,2787342302
227,A ,5476,17357278,13969280371
228,A ,278,8368583,4163736216
229,A ,446,18394349,9928572340
231,A ,2850,1241829,856728863
232,A ,310,5251860,1555442427
233,A ,14974,2504473,1667235507
236,A ,120243,6576438,2865575385
237,A ,1140,1054924,1294100847
239,A ,2830,5721768,2328521668
240,A ,70,2119502,746637831
241,A ,6422,6436457,4744558944
242,A ,4214,15359835,11881872033
243,A ,392,3967499,1036658065
244,A ,256,3289111,3555452040
245,A ,93,10579862,6599433518
246,A ,9,3531337,1748814742
247,A ,1252,9473119,1293790665
248,A ,33626,3083128,3084104476
249,A ,1893,9515204,4889864688
250,A ,111520,2165801,2298969489
251,A ,63,1673608,2633311383
252,A ,583,4035116,2000802080
254,A ,1713,6880324,5414528635
256,A ,215,16120428,10323118073
257,A ,26,8453220,4298092532
258,A ,19,3906670,1310514561
259,A ,255,1726047,1035058136
260,A ,1716,11037799,7248944248
261,A ,692,8674860,5793558805
262,A ,1764,4104585,1527175809
263,A ,3692,2258716,919189826
264,A ,142427,4686757,3574418617
265,A ,139,9198180,6898631721
266,A ,1795,4525326,4129499307
268,A ,859,23590547,9880562011
269,A ,8758,22981517,13426887749
270,A ,1165,11524140,4631090552
271,A ,680,16355206,17470709876
272,A ,177,407066,87279803
273,A ,1498,5936545,4000941387
274,A ,908,6646318,1262160532
275,A ,6,192230,70748180
276,A ,98,956357,413449527
277,A ,1147,11041504,9921804596
278,A ,533,3850735,1477710857
279,A ,2999,7470765,1774695359
280,A ,248,4554690,2087077770
281,A ,526,2726479,1532978759
282,A ,103,12841749,9509573498
283,A ,3332,5241934,3537059454
284,A ,18006,4504323,3345586246
285,A ,44,2196327,862348058
286,A ,708,2258303,1471393006
287,A ,2512,3727952,3769698238
288,A ,12959,8046493,4436534481
289,A ,145,4000495,2577351909
290,A ,107,2358324,1810656447
292,A ,353,11312621,1726592121
293,A ,2805,1050905,1630495982
294,A ,131,2346267,2374791524
295,A ,1649,1446017,615545631
296,A ,2529,1221977,699287518
297,A ,1164,19631845,4491304033
298,A ,562,18487595,3981804622
299,A ,189,4013370,3897267590
300,A ,3513,4577095,3540450188
301,A ,92,8529288,5616336614
302,A ,58514,4030820,5187454046
303,A ,676,7990777,896576201
304,A ,86,28133287,15476966737
305,A ,1467,28889480,7825801479
306,A ,38,9987454,4908039128
307,A ,845,2599157,567724680
308,A ,694,16902261,4939708131
309,A ,797,9509594,4761221692
310,A ,4146,7985983,4340439049
311,A ,3426,2306908,1228011095
312,A ,1459,2287705,1099701030
313,A ,90,15164001,10120591416
314,A ,8,3891968,2420286079
315,A ,1454,3424646,1415089435
316,A ,289,2651748,750583917
317,A ,116,1638966,518466711
318,A ,2646,3932772,2203762925
319,A ,202,12635238,7881678521
320,A ,2898,3840010,1222587049
321,A ,218,817938,214359214
323,A ,269065,2599175,2786949164
324,A ,395,976130,651702290
325,A ,198,709587,166534634
327,A ,1930,11657566,2537293803
328,A ,390,4149328,1410581249
329,A ,52,2822933,514414041
330,A ,692,3938021,1942176648
331,A ,922,4512958,1946973161
332,A ,4196,21770508,10053970560
333,A ,115,636609,102185590
334,A ,6,547,2127264
335,A ,819,5961268,1709469538
336,A ,557,1992474,1230314566
337,A ,31,2648105,510380802
338,A ,11,92158,63748543
339,A ,148,912967,448991721
340,A ,5179,3865413,2906524921
341,A ,4710,23775389,9365416666
342,A ,19,480785,95827909
343,A ,431,5005927,1273050905
344,A ,524,18178014,4912160820
345,A ,216,13779702,2201959243
347,A ,1355,1625205,977945315
348,A ,1659,8427099,3675163152
349,A ,292,1719279,544187059
350,A ,209,1121491,147266521
351,A ,2356,3181532,1947872233
352,A ,304,2510058,543214595
